Scenario,Country,Answer,Service,Model,Foundation,Care,Fairness,Loyalty,Authority,Sanctity,Liberty,Not Wrong,Wrong
You see a family eating the carcass of their pet dog that had been run over.,United States,4.0,openai,gpt-3.5-turbo,Sanctity,3 %,3 %,6 %,3 %,84 %,0 %,0 %,3.2
You see a man loudly telling his wife that the dinner she cooked tastes awful.,United States,2.0,openai,gpt-3.5-turbo,Care,66 %,0 %,3 %,3 %,13 %,6 %,9 %,2.4
You see a man telling his fiance that she has to switch to his political party.,United States,3.0,openai,gpt-3.5-turbo,Liberty,0 %,3 %,3 %,0 %,0 %,90 %,3 %,2.9
You see an employee trying to undermine all of her boss' ideas in front of others.,United States,3.0,openai,gpt-3.5-turbo,Authority,7 %,0 %,13 %,73 %,0 %,0 %,7 %,2.6
You see a former US General saying publicly he would never buy any American product.,United States,2.0,openai,gpt-3.5-turbo,Loyalty,0 %,0 %,75 %,6 %,3 %,0 %,16 %,2.5
You see a teenager at a cafeteria forcing a younger student to pay for her lunch.,United States,3.0,openai,gpt-3.5-turbo,Liberty,13 %,10 %,3 %,6 %,3 %,61 %,3 %,3.0
You see an intern disobeying an order to dress professionally and comb his hair.,United States,2.0,openai,gpt-3.5-turbo,Authority,3 %,0 %,0 %,78 %,0 %,0 %,19 %,1.9
You see a head cheerleader booing her high school's team during a homecoming game.,United States,2.0,openai,gpt-3.5-turbo,Loyalty,7 %,0 %,69 %,7 %,0 %,7 %,10 %,2.3
You see a woman having intimate relations with a recently deceased loved one.,United States,4.0,openai,gpt-3.5-turbo,Sanctity,6 %,0 %,3 %,3 %,74 %,3 %,10 %,3.3
You see a man secretly voting against his wife in a local beauty pageant.,United States,3.0,openai,gpt-3.5-turbo,Loyalty,10 %,7 %,66 %,0 %,0 %,0 %,17 %,1.9
You see a man forbidding his wife to wear clothing that he has not first approved.,United States,3.0,openai,gpt-3.5-turbo,Liberty,6 %,10 %,3 %,0 %,3 %,74 %,3 %,3.1
You see a boy turning up the TV as his father talks about his military service.,United States,2.0,openai,gpt-3.5-turbo,Authority,13 %,0 %,0 %,65 %,0 %,0 %,23 %,2.1
You see a girl asking for allowance even though her brother did her chores for her.,United States,3.0,openai,gpt-3.5-turbo,Fairness,3 %,82 %,3 %,6 %,6 %,0 %,0 %,2.7
You see a teenage girl coming home late and ignoring her parents' strict curfew.,United States,2.0,openai,gpt-3.5-turbo,Authority,3 %,3 %,3 %,75 %,3 %,0 %,13 %,2.3
